"","Site_Year","Richness","N.Sus","Forest.type","Year","Site"
"1","BOL1_2005",71,12,"Boreal forest",2005,"BOL1"
"2","BOL1_2009",74,12,"Boreal forest",2009,"BOL1"
"3","BOL1_2011",76,12,"Boreal forest",2011,"BOL1"
"4","BOL1_2012",79,12,"Boreal forest",2012,"BOL1"
"5","BOL1_2023",46,12,"Boreal forest",2023,"BOL1"
"6","FRI2_1999",54,12,"Boreal forest",1999,"FRI2"
"7","FRI2_2005",52,12,"Boreal forest",2005,"FRI2"
"8","FRI2_2009",51,12,"Boreal forest",2009,"FRI2"
"9","FRI2_2011",49,12,"Boreal forest",2011,"FRI2"
"10","FRI2_2012",47,12,"Boreal forest",2012,"FRI2"
"11","LOM1_1999",52,11,"Boreal forest",1999,"LOM1"
"12","LOM1_2000",54,11,"Boreal forest",2000,"LOM1"
"13","LOM1_2001",53,11,"Boreal forest",2001,"LOM1"
"14","LOM1_2002",55,11,"Boreal forest",2002,"LOM1"
"15","LOM1_2003",58,11,"Boreal forest",2003,"LOM1"
"16","LOM1_2004",54,11,"Boreal forest",2004,"LOM1"
"17","LOM1_2005",55,11,"Boreal forest",2005,"LOM1"
"18","LOM1_2006",55,11,"Boreal forest",2006,"LOM1"
"19","LOM1_2008",53,11,"Boreal forest",2008,"LOM1"
"20","LOM1_2009",54,11,"Boreal forest",2009,"LOM1"
"21","LOM1_2011",53,11,"Boreal forest",2011,"LOM1"
"22","LOM1_2012",53,11,"Boreal forest",2012,"LOM1"
"23","LOM1_2013",42,4,"Boreal forest",2013,"LOM1"
"24","LOM1_2014",42,4,"Boreal forest",2014,"LOM1"
"25","LOM2_2005",35,12,"Boreal forest",2005,"LOM2"
"26","LOM2_2010",35,12,"Boreal forest",2010,"LOM2"
"27","LOM2_2011",31,12,"Boreal forest",2011,"LOM2"
"28","PIE3_2006",87,12,"Boreal forest",2006,"PIE3"
"29","PIE3_2009",79,12,"Boreal forest",2009,"PIE3"
"30","PIE3_2011",82,12,"Boreal forest",2011,"PIE3"
"31","PIE3_2012",79,12,"Boreal forest",2012,"PIE3"
"32","TRE1_1999",15,12,"Boreal forest",1999,"TRE1"
"33","TRE1_2005",15,12,"Boreal forest",2005,"TRE1"
"34","TRE1_2009",16,12,"Boreal forest",2009,"TRE1"
"35","TRE1_2011",16,12,"Boreal forest",2011,"TRE1"
"36","TRE1_2012",16,12,"Boreal forest",2012,"TRE1"
"37","VAL1_1999",32,12,"Boreal forest",1999,"VAL1"
"38","VAL1_2000",34,12,"Boreal forest",2000,"VAL1"
"39","VAL1_2001",38,12,"Boreal forest",2001,"VAL1"
"40","VAL1_2002",34,12,"Boreal forest",2002,"VAL1"
"41","VAL1_2003",31,12,"Boreal forest",2003,"VAL1"
"42","VAL1_2004",32,12,"Boreal forest",2004,"VAL1"
"43","VAL1_2005",32,12,"Boreal forest",2005,"VAL1"
"44","VAL1_2006",29,12,"Boreal forest",2006,"VAL1"
"45","VAL1_2007",28,12,"Boreal forest",2007,"VAL1"
"46","VAL1_2008",27,12,"Boreal forest",2008,"VAL1"
"47","VAL1_2010",26,12,"Boreal forest",2010,"VAL1"
"48","VAL1_2011",25,12,"Boreal forest",2011,"VAL1"
"49","VAL1_2012",22,12,"Boreal forest",2012,"VAL1"
"50","VAL1_2013",13,4,"Boreal forest",2013,"VAL1"
"51","VAL1_2014",11,4,"Boreal forest",2014,"VAL1"
