Year,Site,N.Sus,Tree_cover,Mean_temp,Annual_prec,pH,NH4,SO4,K,NO3,cv_prec,tot_prec_growing_season,mean_temp_growing_season,CDD_annuale,CDD_growing_season,DefM,Richness,Shrub_cover,TX90p_annual,Temp_seasonality,Forest_type
1999,ABR1,12,93.67,10.67,1344.3,6.363,0.01,0.767,0.534,0.267,59.74,380.8,15.79,30,30,NA,23,0.92,16.67,6.75,Nemoral beech forest
1999,BAS1,12,69.58,11.78,621,NA,NA,NA,NA,NA,57.75,188.3,17.03,30,30,NA,75,27.08,8.84,6.9,Nemoral oak forest
1999,CAL1,12,NA,14.78,893.2,NA,NA,NA,NA,NA,65.04,163.3,19.69,29,29,NA,34,NA,19.66,6.64,Nemoral beech forest
1999,CAM1,12,87.92,11.63,695.9,NA,NA,NA,NA,NA,52.3,212.5,16.89,31,31,NA,31,4.51,14.3,6.92,Nemoral beech forest
1999,EMI1,12,80.83,13.38,781.4,NA,NA,NA,NA,NA,81.07,312.2,20.58,28,20,NA,28,6.17,9.31,8.51,Nemoral oak forest
1999,EMI2,12,82.08,11.65,1215.4,NA,NA,NA,NA,NA,62.03,295.3,17.31,18,18,NA,33,12.92,9.84,7.21,Nemoral beech forest
1999,FRI1,12,90.17,13.11,880.3,NA,NA,NA,NA,NA,48.26,450.4,19.63,18,18,NA,51,11.63,7.95,8,Nemoral oak forest
1999,FRI2,12,70.83,5.52,1507.5,NA,NA,NA,NA,NA,43.74,730.2,11.28,15,8,NA,54,1.29,10.19,7.16,Boreal forest
1999,LAZ1,12,88.33,13.91,803.8,5.683,0.028,2.303,0.356,0.018,51.41,233.9,19.29,31,31,NA,54,20.42,6.42,7.09,Nemoral oak forest
1999,LOM1,11,30,0.83,1720.5,NA,NA,NA,NA,NA,42.77,858.9,5.88,15,11,NA,52,17.55,12.85,6.65,Boreal forest
1999,PIE1,12,93.75,9.01,985.3,NA,NA,NA,NA,NA,50.55,517.6,14.74,17,8,NA,15,0.23,12.49,6.92,Nemoral beech forest
1999,PUG1,12,77.42,13.57,212.1,NA,NA,NA,NA,NA,56.55,84.3,18.73,33,33,NA,29,14.75,22.48,6.87,Nemoral beech forest
1999,SAR1,12,83.75,15.2,715.6,NA,NA,NA,NA,NA,85,126.3,19.64,88,85,NA,16,2.54,16.71,6.45,Mediterranean forest
1999,TOS1,12,85,15.23,866.9,NA,NA,NA,NA,NA,80.46,169.6,20.49,30,30,NA,31,17.33,17.6,6.85,Mediterranean forest
1999,TRE1,12,28.83,9.05,910.3,NA,NA,NA,NA,NA,45.35,494.8,15.18,26,12,NA,15,0.83,6.11,7.44,Boreal forest
1999,UMB1,12,72.33,12.77,1131.3,NA,NA,NA,NA,NA,51.41,386.7,18.39,17,17,NA,54,76.67,13.26,7.16,Nemoral oak forest
1999,VAL1,12,55.83,3.34,1229.7,NA,NA,NA,NA,NA,40.64,627.5,8.27,13,7,NA,32,1.67,10.8,6.5,Boreal forest
1999,VEN1,12,76.67,8.63,1277.6,NA,NA,NA,NA,NA,47.33,692.9,14.83,27,16,NA,26,0,14.56,7.59,Nemoral beech forest
2000,ABR1,12,94.67,11.46,971.7,6.661,0.026,0.786,0.364,0.01,79.68,220.9,16.57,25,25,23,24,2,21.13,6.46,Nemoral beech forest
2000,CAL1,12,82.92,14.52,1083.8,NA,NA,NA,NA,NA,94.64,194.3,19.28,51,47,37.17,31,1.42,11.92,6.23,Nemoral beech forest
2000,CAM1,12,81.67,12.17,477.7,NA,NA,NA,NA,NA,58.26,129.5,17.49,53,47,23,26,4.58,20.55,6.81,Nemoral beech forest
2000,EMI1,12,70,14.09,550.4,NA,NA,NA,NA,NA,93.36,153.6,21.16,51,34,25.74,38,3.5,13.38,8.27,Nemoral oak forest
2000,FRI1,12,90,13.64,941,NA,NA,NA,NA,NA,84.24,290.5,19.92,38,21,19.17,50,12.58,11.15,7.5,Nemoral oak forest
2000,LAZ1,12,80.92,14.99,747.9,5.403,0.089,1.955,0.421,0.01,98.13,157,20.14,26,26,18.5,52,18.33,1.88,6.61,Nemoral oak forest
2000,LOM1,11,49.09,1.22,1917.8,NA,NA,NA,NA,NA,70.43,804.7,6.09,17,7,16.33,54,16.09,11.5,6.18,Boreal forest
2000,MAR1,12,73.33,14.72,847.7,NA,NA,NA,NA,NA,60.48,256.6,20.23,21,21,25.58,61,36.67,19.88,6.59,Nemoral oak forest
2000,TOS1,12,90,15.46,1071.1,NA,NA,NA,NA,NA,105.71,177.9,20.42,27,26,24.33,26,13.92,12.84,6.24,Mediterranean forest
2000,VAL1,12,57.08,3.77,1290.8,NA,NA,NA,NA,NA,75.62,514.3,8.42,21,9,23.67,34,0.83,12.26,5.93,Boreal forest
2000,VEN1,12,93.75,9.51,1348.4,NA,NA,NA,NA,NA,91.65,449.6,15.45,46,13,16,33,0,18.68,7.02,Nemoral beech forest
2001,ABR1,12,94.42,11.24,898.1,6.879,0.058,0.767,0.511,0.01,68.44,320.9,15.88,30,30,8.5,23,0.75,17.53,6.41,Nemoral beech forest
2001,CAL1,12,80,14.72,1008.8,NA,NA,NA,NA,NA,83.83,281.9,18.76,63,63,36.17,35,2.58,13.97,5.93,Nemoral beech forest
