"","Site_Year","Richness","N.Sus","Forest.type","Year","Site"
"1","LAZ2_2005",19,12,"Mediterranean forest",2005,"LAZ2"
"2","LAZ2_2010",22,12,"Mediterranean forest",2010,"LAZ2"
"3","LAZ2_2011",18,12,"Mediterranean forest",2011,"LAZ2"
"4","LAZ2_2012",21,12,"Mediterranean forest",2012,"LAZ2"
"5","SAR1_1999",16,12,"Mediterranean forest",1999,"SAR1"
"6","SAR1_2002",24,12,"Mediterranean forest",2002,"SAR1"
"7","SAR1_2005",20,12,"Mediterranean forest",2005,"SAR1"
"8","SAR1_2006",22,12,"Mediterranean forest",2006,"SAR1"
"9","SAR1_2009",22,12,"Mediterranean forest",2009,"SAR1"
"10","SAR1_2011",22,12,"Mediterranean forest",2011,"SAR1"
"11","SAR1_2012",19,12,"Mediterranean forest",2012,"SAR1"
"12","TOS1_1999",31,12,"Mediterranean forest",1999,"TOS1"
"13","TOS1_2000",26,12,"Mediterranean forest",2000,"TOS1"
"14","TOS1_2001",29,12,"Mediterranean forest",2001,"TOS1"
"15","TOS1_2002",29,12,"Mediterranean forest",2002,"TOS1"
"16","TOS1_2003",27,12,"Mediterranean forest",2003,"TOS1"
"17","TOS1_2004",28,12,"Mediterranean forest",2004,"TOS1"
"18","TOS1_2005",30,12,"Mediterranean forest",2005,"TOS1"
"19","TOS1_2006",28,12,"Mediterranean forest",2006,"TOS1"
"20","TOS1_2008",25,12,"Mediterranean forest",2008,"TOS1"
"21","TOS1_2009",26,12,"Mediterranean forest",2009,"TOS1"
"22","TOS1_2011",30,12,"Mediterranean forest",2011,"TOS1"
"23","TOS1_2013",16,4,"Mediterranean forest",2013,"TOS1"
"24","TOS1_2014",17,4,"Mediterranean forest",2014,"TOS1"
"25","TOS2_2005",18,12,"Mediterranean forest",2005,"TOS2"
"26","TOS2_2010",20,12,"Mediterranean forest",2010,"TOS2"
"27","TOS2_2011",12,12,"Mediterranean forest",2011,"TOS2"
"28","TOS2_2012",14,12,"Mediterranean forest",2012,"TOS2"
"29","TOS2_2023",20,12,"Mediterranean forest",2023,"TOS2"
