"","Site_Year","Richness","N.Sus","Forest.type","Year","Site"
"1","ABR1_1999",23,12,"Nemoral beech forest",1999,"ABR1"
"2","ABR1_2000",24,12,"Nemoral beech forest",2000,"ABR1"
"3","ABR1_2001",23,12,"Nemoral beech forest",2001,"ABR1"
"4","ABR1_2002",22,12,"Nemoral beech forest",2002,"ABR1"
"5","ABR1_2003",19,12,"Nemoral beech forest",2003,"ABR1"
"6","ABR1_2004",21,12,"Nemoral beech forest",2004,"ABR1"
"7","ABR1_2005",21,12,"Nemoral beech forest",2005,"ABR1"
"8","ABR1_2006",21,12,"Nemoral beech forest",2006,"ABR1"
"9","ABR1_2007",19,12,"Nemoral beech forest",2007,"ABR1"
"10","ABR1_2008",17,12,"Nemoral beech forest",2008,"ABR1"
"11","ABR1_2009",19,12,"Nemoral beech forest",2009,"ABR1"
"12","ABR1_2011",18,12,"Nemoral beech forest",2011,"ABR1"
"13","ABR1_2012",15,12,"Nemoral beech forest",2012,"ABR1"
"14","ABR1_2013",18,4,"Nemoral beech forest",2013,"ABR1"
"15","ABR1_2014",12,4,"Nemoral beech forest",2014,"ABR1"
"16","ABR1_2016",24,12,"Nemoral beech forest",2016,"ABR1"
"17","ABR1_2019",20,12,"Nemoral beech forest",2019,"ABR1"
"18","ABR1_2020",22,12,"Nemoral beech forest",2020,"ABR1"
"19","ABR1_2023",16,12,"Nemoral beech forest",2023,"ABR1"
"20","CAL1_1999",34,12,"Nemoral beech forest",1999,"CAL1"
"21","CAL1_2000",31,12,"Nemoral beech forest",2000,"CAL1"
"22","CAL1_2001",35,12,"Nemoral beech forest",2001,"CAL1"
"23","CAL1_2002",34,12,"Nemoral beech forest",2002,"CAL1"
"24","CAL1_2003",30,12,"Nemoral beech forest",2003,"CAL1"
"25","CAL1_2004",32,12,"Nemoral beech forest",2004,"CAL1"
"26","CAL1_2005",37,12,"Nemoral beech forest",2005,"CAL1"
"27","CAL1_2006",39,12,"Nemoral beech forest",2006,"CAL1"
"28","CAL1_2008",20,12,"Nemoral beech forest",2008,"CAL1"
"29","CAL1_2009",25,12,"Nemoral beech forest",2009,"CAL1"
"30","CAL1_2011",28,12,"Nemoral beech forest",2011,"CAL1"
"31","CAL1_2012",26,12,"Nemoral beech forest",2012,"CAL1"
"32","CAL1_2013",20,4,"Nemoral beech forest",2013,"CAL1"
"33","CAL1_2014",21,4,"Nemoral beech forest",2014,"CAL1"
"34","CAL1_2016",30,12,"Nemoral beech forest",2016,"CAL1"
"35","CAL1_2019",25,12,"Nemoral beech forest",2019,"CAL1"
"36","CAL1_2020",28,12,"Nemoral beech forest",2020,"CAL1"
"37","CAL1_2023",24,12,"Nemoral beech forest",2023,"CAL1"
"38","CAM1_1999",31,12,"Nemoral beech forest",1999,"CAM1"
"39","CAM1_2000",26,12,"Nemoral beech forest",2000,"CAM1"
"40","CAM1_2001",28,12,"Nemoral beech forest",2001,"CAM1"
"41","CAM1_2002",35,12,"Nemoral beech forest",2002,"CAM1"
"42","CAM1_2003",33,12,"Nemoral beech forest",2003,"CAM1"
"43","CAM1_2004",39,12,"Nemoral beech forest",2004,"CAM1"
"44","CAM1_2005",29,12,"Nemoral beech forest",2005,"CAM1"
"45","CAM1_2006",28,12,"Nemoral beech forest",2006,"CAM1"
"46","CAM1_2007",34,12,"Nemoral beech forest",2007,"CAM1"
"47","CAM1_2008",33,12,"Nemoral beech forest",2008,"CAM1"
"48","CAM1_2009",29,12,"Nemoral beech forest",2009,"CAM1"
"49","CAM1_2011",30,12,"Nemoral beech forest",2011,"CAM1"
"50","CAM1_2012",32,12,"Nemoral beech forest",2012,"CAM1"
"51","CAM1_2013",22,4,"Nemoral beech forest",2013,"CAM1"
"52","CAM1_2014",23,4,"Nemoral beech forest",2014,"CAM1"
"53","EMI2_1999",33,12,"Nemoral beech forest",1999,"EMI2"
"54","EMI2_2005",23,12,"Nemoral beech forest",2005,"EMI2"
"55","EMI2_2010",22,12,"Nemoral beech forest",2010,"EMI2"
"56","EMI2_2011",24,12,"Nemoral beech forest",2011,"EMI2"
"57","LIG1_2005",24,12,"Nemoral beech forest",2005,"LIG1"
"58","LIG1_2010",20,12,"Nemoral beech forest",2010,"LIG1"
"59","LIG1_2011",20,12,"Nemoral beech forest",2011,"LIG1"
"60","LOM3_2005",45,12,"Nemoral beech forest",2005,"LOM3"
"61","LOM3_2006",42,12,"Nemoral beech forest",2006,"LOM3"
"62","LOM3_2010",38,12,"Nemoral beech forest",2010,"LOM3"
"63","LOM3_2011",39,12,"Nemoral beech forest",2011,"LOM3"
"64","PIE1_1999",15,12,"Nemoral beech forest",1999,"PIE1"
"65","PIE1_2005",13,12,"Nemoral beech forest",2005,"PIE1"
"66","PIE1_2009",12,12,"Nemoral beech forest",2009,"PIE1"
"67","PIE1_2011",8,12,"Nemoral beech forest",2011,"PIE1"
"68","PIE1_2012",9,12,"Nemoral beech forest",2012,"PIE1"
"69","PIE1_2013",8,4,"Nemoral beech forest",2013,"PIE1"
"70","PIE1_2014",7,4,"Nemoral beech forest",2014,"PIE1"
"71","PIE1_2016",11,12,"Nemoral beech forest",2016,"PIE1"
"72","PIE1_2019",10,12,"Nemoral beech forest",2019,"PIE1"
"73","PIE1_2020",10,12,"Nemoral beech forest",2020,"PIE1"
"74","PIE1_2023",9,12,"Nemoral beech forest",2023,"PIE1"
"75","PUG1_1999",29,12,"Nemoral beech forest",1999,"PUG1"
"76","PUG1_2005",25,12,"Nemoral beech forest",2005,"PUG1"
"77","PUG1_2010",24,12,"Nemoral beech forest",2010,"PUG1"
"78","PUG1_2011",22,12,"Nemoral beech forest",2011,"PUG1"
"79","PUG1_2012",23,12,"Nemoral beech forest",2012,"PUG1"
"80","TOS3_2005",17,12,"Nemoral beech forest",2005,"TOS3"
"81","TOS3_2010",12,12,"Nemoral beech forest",2010,"TOS3"
