"","Site_Year","Species","Site","Year","Forest.type","Ell_Temp","Ell_Moisture","Ell_Light"
"1","ABR1_1999","Cardamine bulbifera","ABR1",1999,"Nemoral beech forest",5,5,3
"2","ABR1_1999","Cardamine chelidonia","ABR1",1999,"Nemoral beech forest",4,7,5
"3","ABR1_1999","Epipactis microphylla","ABR1",1999,"Nemoral beech forest",7,3,3
"4","ABR1_1999","Fagus sylvatica","ABR1",1999,"Nemoral beech forest",5,5,5
"5","ABR1_1999","Fragaria vesca","ABR1",1999,"Nemoral beech forest",NA,4,6
"6","ABR1_1999","Galium odoratum","ABR1",1999,"Nemoral beech forest",5,5,2
"7","ABR1_1999","Geranium robertianum","ABR1",1999,"Nemoral beech forest",6,4,4
"8","ABR1_1999","Monotropa hypopitys","ABR1",1999,"Nemoral beech forest",4,4,3
"9","ABR1_1999","Mycelis muralis","ABR1",1999,"Nemoral beech forest",5,5,4
"10","ABR1_1999","Myosotis sylvatica","ABR1",1999,"Nemoral beech forest",5,6,5
"11","ABR1_1999","Neottia nidus-avis","ABR1",1999,"Nemoral beech forest",5,5,2
"12","ABR1_1999","Ranunculus lanuginosus","ABR1",1999,"Nemoral beech forest",NA,6,3
"13","ABR1_1999","Rubus caesius","ABR1",1999,"Nemoral beech forest",5,7,7
"14","ABR1_1999","Sanicula europaea","ABR1",1999,"Nemoral beech forest",5,5,4
"15","ABR1_1999","Sorbus aucuparia","ABR1",1999,"Nemoral beech forest",5,5,6
"16","ABR1_1999","Stellaria media","ABR1",1999,"Nemoral beech forest",7,4,6
"17","ABR1_1999","Veronica montana","ABR1",1999,"Nemoral beech forest",5,7,4
"18","ABR1_1999","Veronica officinalis","ABR1",1999,"Nemoral beech forest",5,4,5
"19","ABR1_1999","Agrostis tenuis","ABR1",1999,"Nemoral beech forest",NA,NA,7
"20","ABR1_1999","Digitalis micrantha","ABR1",1999,"Nemoral beech forest",5.5,5,6.5
"21","ABR1_1999","Acer platanoides","ABR1",1999,"Nemoral beech forest",6,NA,5
"22","ABR1_1999","Viola riviniana","ABR1",1999,"Nemoral beech forest",5,5,5
"23","ABR1_1999","Galium rotundifolium","ABR1",1999,"Nemoral beech forest",8,4,3
"24","ABR1_1999","Epipactis microphylla","ABR1",1999,"Nemoral beech forest",7,3,3
"25","ABR1_2000","Aremonia agrimonoides","ABR1",2000,"Nemoral beech forest",7,5,4
"26","ABR1_2000","Cardamine bulbifera","ABR1",2000,"Nemoral beech forest",5,5,3
"27","ABR1_2000","Cardamine chelidonia","ABR1",2000,"Nemoral beech forest",4,7,5
"28","ABR1_2000","Epipactis microphylla","ABR1",2000,"Nemoral beech forest",7,3,3
"29","ABR1_2000","Fagus sylvatica","ABR1",2000,"Nemoral beech forest",5,5,5
"30","ABR1_2000","Fragaria vesca","ABR1",2000,"Nemoral beech forest",NA,4,6
"31","ABR1_2000","Galium odoratum","ABR1",2000,"Nemoral beech forest",5,5,2
"32","ABR1_2000","Geranium robertianum","ABR1",2000,"Nemoral beech forest",6,4,4
"33","ABR1_2000","Monotropa hypopitys","ABR1",2000,"Nemoral beech forest",4,4,3
"34","ABR1_2000","Mycelis muralis","ABR1",2000,"Nemoral beech forest",5,5,4
"35","ABR1_2000","Myosotis sylvatica","ABR1",2000,"Nemoral beech forest",5,6,5
"36","ABR1_2000","Neottia nidus-avis","ABR1",2000,"Nemoral beech forest",5,5,2
"37","ABR1_2000","Rubus caesius","ABR1",2000,"Nemoral beech forest",5,7,7
"38","ABR1_2000","Sanicula europaea","ABR1",2000,"Nemoral beech forest",5,5,4
"39","ABR1_2000","Sorbus aucuparia","ABR1",2000,"Nemoral beech forest",5,5,6
"40","ABR1_2000","Stellaria media","ABR1",2000,"Nemoral beech forest",7,4,6
"41","ABR1_2000","Veronica montana","ABR1",2000,"Nemoral beech forest",5,7,4
"42","ABR1_2000","Veronica officinalis","ABR1",2000,"Nemoral beech forest",5,4,5
"43","ABR1_2000","Viola reichenbachiana","ABR1",2000,"Nemoral beech forest",5,5,4
"44","ABR1_2000","Epipactis muelleri","ABR1",2000,"Nemoral beech forest",7,3,7
"45","ABR1_2000","Agrostis tenuis","ABR1",2000,"Nemoral beech forest",NA,NA,7
"46","ABR1_2000","Digitalis micrantha","ABR1",2000,"Nemoral beech forest",5.5,5,6.5
