"","Site_Year","Species","Site","Year","Forest.type","Ell_Temp","Ell_Moisture","Ell_Light"
"1","BOL1_2005","Athyrium filix-foemina","BOL1",2005,"Boreal forest",4,5,3
"2","BOL1_2005","Avenella flexuosa","BOL1",2005,"Boreal forest",NA,NA,6
"3","BOL1_2005","Campanula barbata","BOL1",2005,"Boreal forest",2,5,7
"4","BOL1_2005","Carex montana","BOL1",2005,"Boreal forest",5,4,5
"5","BOL1_2005","Carex pallescens","BOL1",2005,"Boreal forest",4,6,7
"6","BOL1_2005","Dactylis glomerata","BOL1",2005,"Boreal forest",6,4,7
"7","BOL1_2005","Deschampsia caespitosa","BOL1",2005,"Boreal forest",NA,7,6
"8","BOL1_2005","Dryopteris dilatata","BOL1",2005,"Boreal forest",NA,NA,4.5
"9","BOL1_2005","Dryopteris filix-mas","BOL1",2005,"Boreal forest",NA,5,3
"10","BOL1_2005","Erica carnea","BOL1",2005,"Boreal forest",6,3,7
"11","BOL1_2005","Fragaria vesca","BOL1",2005,"Boreal forest",NA,4,6
"12","BOL1_2005","Gymnocarpium dryopteris","BOL1",2005,"Boreal forest",3,6,3
"13","BOL1_2005","Hieracium sylvaticum","BOL1",2005,"Boreal forest",NA,5,4
"14","BOL1_2005","Homogyne alpina","BOL1",2005,"Boreal forest",4,6,6
"15","BOL1_2005","Luzula albida","BOL1",2005,"Boreal forest",4,3,4
"16","BOL1_2005","Luzula luzulina","BOL1",2005,"Boreal forest",3,4,3
"17","BOL1_2005","Luzula sieberi","BOL1",2005,"Boreal forest",NA,NA,NA
"18","BOL1_2005","Lycopodium annotinum","BOL1",2005,"Boreal forest",4,6,3
"19","BOL1_2005","Melampyrum pratense","BOL1",2005,"Boreal forest",3,5,4
"20","BOL1_2005","Molinia coerulea","BOL1",2005,"Boreal forest",5.5,6.5,7
"21","BOL1_2005","Oxalis acetosella","BOL1",2005,"Boreal forest",5,6,1
"22","BOL1_2005","Phyteuma betonicifolium","BOL1",2005,"Boreal forest",4,5,5
"23","BOL1_2005","Picea abies","BOL1",2005,"Boreal forest",3,5,5
"24","BOL1_2005","Pinus cembra","BOL1",2005,"Boreal forest",2,5,7
"25","BOL1_2005","Potentilla erecta","BOL1",2005,"Boreal forest",NA,NA,6
"26","BOL1_2005","Prenanthes purpurea","BOL1",2005,"Boreal forest",4,5,4
"27","BOL1_2005","Prunella vulgaris","BOL1",2005,"Boreal forest",6,6,7
"28","BOL1_2005","Rubus idaeus","BOL1",2005,"Boreal forest",4,5,7
"29","BOL1_2005","Senecio fuchsii","BOL1",2005,"Boreal forest",NA,NA,NA
"30","BOL1_2005","Solidago virgaurea","BOL1",2005,"Boreal forest",NA,5,5
"31","BOL1_2005","Sorbus aucuparia","BOL1",2005,"Boreal forest",5,5,6
"32","BOL1_2005","Vaccinium myrtillus","BOL1",2005,"Boreal forest",3,5,6
"33","BOL1_2005","Veronica officinalis","BOL1",2005,"Boreal forest",5,4,5
"34","BOL1_2005","Viola biflora","BOL1",2005,"Boreal forest",3,6,3
"35","BOL1_2005","Viola reichenbachiana","BOL1",2005,"Boreal forest",5,5,4
"36","BOL1_2005","Agrostis tenuis","BOL1",2005,"Boreal forest",NA,NA,7
"37","BOL1_2005","Calluna vulgaris","BOL1",2005,"Boreal forest",5,NA,8
"38","BOL1_2005","Clematis vitalba","BOL1",2005,"Boreal forest",7,5,7
"39","BOL1_2005","Luzula pilosa","BOL1",2005,"Boreal forest",NA,NA,2
"40","BOL1_2005","Ranunculus montanus","BOL1",2005,"Boreal forest",3.5,4,8.5
"41","BOL1_2005","Epilobium angustifolium","BOL1",2005,"Boreal forest",4,4,6
"42","BOL1_2005","Larix decidua","BOL1",2005,"Boreal forest",3,4,8
"43","BOL1_2005","Vaccinium vitis-idaea","BOL1",2005,"Boreal forest",3,4,5
"44","BOL1_2005","Festuca rubra","BOL1",2005,"Boreal forest",4,4,8
"45","BOL1_2005","Anthriscus sylvestris","BOL1",2005,"Boreal forest",NA,5,5.5
"46","BOL1_2005","Trifolium pratense","BOL1",2005,"Boreal forest",5,5,7
"47","BOL1_2005","Tussilago farfara","BOL1",2005,"Boreal forest",5,6,8
"48","BOL1_2005","Agrostis stolonifera","BOL1",2005,"Boreal forest",NA,7,7.7
"49","BOL1_2005","Arnica montana","BOL1",2005,"Boreal forest",4,7,9
"50","BOL1_2005","Carlina acaulis","BOL1",2005,"Boreal forest",NA,4,7
"51","BOL1_2005","Galium pumilum","BOL1",2005,"Boreal forest",4,4,7
"52","BOL1_2005","Juniperus nana","BOL1",2005,"Boreal forest",NA,4,8
"53","BOL1_2005","Luzula multiflora","BOL1",2005,"Boreal forest",NA,4.7,7
"54","BOL1_2005","Majanthemum bifolium","BOL1",2005,"Boreal forest",NA,NA,3
"55","BOL1_2005","Nardus stricta","BOL1",2005,"Boreal forest",3,5,8
"56","BOL1_2005","Achillea millefolium","BOL1",2005,"Boreal forest",NA,3.7,8
"57","BOL1_2005","Alchemilla vulgaris","BOL1",2005,"Boreal forest",4,5,7
"58","BOL1_2005","Avenula pubescens","BOL1",2005,"Boreal forest",NA,NA,5
"59","BOL1_2005","Euphrasia minima","BOL1",2005,"Boreal forest",2,5,7
"60","BOL1_2005","Lotus corniculatus","BOL1",2005,"Boreal forest",5,4,7
"61","BOL1_2005","Phleum alpinum","BOL1",2005,"Boreal forest",3,5,7.5
"62","BOL1_2005","Polygonum viviparum","BOL1",2005,"Boreal forest",2,5,7
"63","BOL1_2005","Taraxacum officinale","BOL1",2005,"Boreal forest",5,5,7
"64","BOL1_2005","Horminum pyrenaicum","BOL1",2005,"Boreal forest",3,4,7
"65","BOL1_2005","Daphne mezereum","BOL1",2005,"Boreal forest",NA,5,4
"66","BOL1_2005","Trifolium montanum","BOL1",2005,"Boreal forest",5,4,7
"67","BOL1_2005","Hieracium pilosella","BOL1",2005,"Boreal forest",5,3,8
"68","BOL1_2005","Salix caprea","BOL1",2005,"Boreal forest",5,6,7
"69","BOL1_2005","Aconitum sp.","BOL1",2005,"Boreal forest",NA,NA,NA
"70","BOL1_2005","Moneses uniflora","BOL1",2005,"Boreal forest",4,5,4
"71","BOL1_2005","Trifolium repens","BOL1",2005,"Boreal forest",5,5,7
"72","BOL1_2009","Athyrium filix-foemina","BOL1",2009,"Boreal forest",4,5,3
"73","BOL1_2009","Avenella flexuosa","BOL1",2009,"Boreal forest",NA,NA,6
"74","BOL1_2009","Campanula barbata","BOL1",2009,"Boreal forest",2,5,7
"75","BOL1_2009","Carex montana","BOL1",2009,"Boreal forest",5,4,5
"76","BOL1_2009","Carex pallescens","BOL1",2009,"Boreal forest",4,6,7
"77","BOL1_2009","Clematis alpina","BOL1",2009,"Boreal forest",3,5,4
"78","BOL1_2009","Dactylis glomerata","BOL1",2009,"Boreal forest",6,4,7
"79","BOL1_2009","Deschampsia caespitosa","BOL1",2009,"Boreal forest",NA,7,6
"80","BOL1_2009","Dryopteris dilatata","BOL1",2009,"Boreal forest",NA,NA,4.5
"81","BOL1_2009","Dryopteris filix-mas","BOL1",2009,"Boreal forest",NA,5,3
"82","BOL1_2009","Erica carnea","BOL1",2009,"Boreal forest",6,3,7
"83","BOL1_2009","Fragaria vesca","BOL1",2009,"Boreal forest",NA,4,6
"84","BOL1_2009","Gymnocarpium dryopteris","BOL1",2009,"Boreal forest",3,6,3
"85","BOL1_2009","Hieracium sylvaticum","BOL1",2009,"Boreal forest",NA,5,4
"86","BOL1_2009","Homogyne alpina","BOL1",2009,"Boreal forest",4,6,6
"87","BOL1_2009","Leontodon hispidus","BOL1",2009,"Boreal forest",NA,4,8
"88","BOL1_2009","Luzula albida","BOL1",2009,"Boreal forest",4,3,4
"89","BOL1_2009","Luzula luzulina","BOL1",2009,"Boreal forest",3,4,3
"90","BOL1_2009","Luzula sieberi","BOL1",2009,"Boreal forest",NA,NA,NA
"91","BOL1_2009","Lycopodium annotinum","BOL1",2009,"Boreal forest",4,6,3
"92","BOL1_2009","Maianthemum bifolium","BOL1",2009,"Boreal forest",NA,NA,3
"93","BOL1_2009","Melampyrum pratense","BOL1",2009,"Boreal forest",3,5,4
"94","BOL1_2009","Molinia arundinacea","BOL1",2009,"Boreal forest",5.5,6.5,7
"95","BOL1_2009","Oxalis acetosella","BOL1",2009,"Boreal forest",5,6,1
"96","BOL1_2009","Phegopteris polypodioides","BOL1",2009,"Boreal forest",5,4,4
"97","BOL1_2009","Phyteuma betonicifolium","BOL1",2009,"Boreal forest",4,5,5
"98","BOL1_2009","Picea abies","BOL1",2009,"Boreal forest",3,5,5
"99","BOL1_2009","Pinus cembra","BOL1",2009,"Boreal forest",2,5,7
"100","BOL1_2009","Potentilla erecta","BOL1",2009,"Boreal forest",NA,NA,6
"101","BOL1_2009","Prunella vulgaris","BOL1",2009,"Boreal forest",6,6,7
"102","BOL1_2009","Ranunculus nemorosus","BOL1",2009,"Boreal forest",4.8,5,5.4
"103","BOL1_2009","Rubus idaeus","BOL1",2009,"Boreal forest",4,5,7
"104","BOL1_2009","Senecio fuchsii","BOL1",2009,"Boreal forest",NA,NA,NA
"105","BOL1_2009","Solidago virgaurea","BOL1",2009,"Boreal forest",NA,5,5
"106","BOL1_2009","Sorbus aucuparia","BOL1",2009,"Boreal forest",5,5,6
"107","BOL1_2009","Vaccinium myrtillus","BOL1",2009,"Boreal forest",3,5,6
"108","BOL1_2009","Vaccinium vitis idaea","BOL1",2009,"Boreal forest",3,4,5
"109","BOL1_2009","Veronica officinalis","BOL1",2009,"Boreal forest",5,4,5
"110","BOL1_2009","Viola biflora","BOL1",2009,"Boreal forest",3,6,3
"111","BOL1_2009","Viola reichenbachiana","BOL1",2009,"Boreal forest",5,5,4
"112","BOL1_2009","Agrostis tenuis","BOL1",2009,"Boreal forest",NA,NA,7
"113","BOL1_2009","Calluna vulgaris","BOL1",2009,"Boreal forest",5,NA,8
"114","BOL1_2009","Luzula pilosa","BOL1",2009,"Boreal forest",NA,NA,2
"115","BOL1_2009","Ranunculus montanus","BOL1",2009,"Boreal forest",3.5,4,8.5
"116","BOL1_2009","Epilobium angustifolium","BOL1",2009,"Boreal forest",4,4,6
"117","BOL1_2009","Larix decidua","BOL1",2009,"Boreal forest",3,4,8
"118","BOL1_2009","Festuca rubra","BOL1",2009,"Boreal forest",4,4,8
"119","BOL1_2009","Anthriscus sylvestris","BOL1",2009,"Boreal forest",NA,5,5.5
"120","BOL1_2009","Trifolium pratense","BOL1",2009,"Boreal forest",5,5,7
"121","BOL1_2009","Tussilago farfara","BOL1",2009,"Boreal forest",5,6,8
"122","BOL1_2009","Cirsium erisithales","BOL1",2009,"Boreal forest",4,7,5
"123","BOL1_2009","Agrostis stolonifera","BOL1",2009,"Boreal forest",NA,7,7.7
"124","BOL1_2009","Arnica montana","BOL1",2009,"Boreal forest",4,7,9
"125","BOL1_2009","Carlina acaulis","BOL1",2009,"Boreal forest",NA,4,7
"126","BOL1_2009","Juniperus nana","BOL1",2009,"Boreal forest",NA,4,8
"127","BOL1_2009","Luzula multiflora","BOL1",2009,"Boreal forest",NA,4.7,7
"128","BOL1_2009","Nardus stricta","BOL1",2009,"Boreal forest",3,5,8
"129","BOL1_2009","Achillea millefolium","BOL1",2009,"Boreal forest",NA,3.7,8
"130","BOL1_2009","Lotus corniculatus","BOL1",2009,"Boreal forest",5,4,7
"131","BOL1_2009","Phleum alpinum","BOL1",2009,"Boreal forest",3,5,7.5
"132","BOL1_2009","Polygonum viviparum","BOL1",2009,"Boreal forest",2,5,7
"133","BOL1_2009","Horminum pyrenaicum","BOL1",2009,"Boreal forest",3,4,7
"134","BOL1_2009","Daphne mezereum","BOL1",2009,"Boreal forest",NA,5,4
"135","BOL1_2009","Salix caprea","BOL1",2009,"Boreal forest",5,6,7
"136","BOL1_2009","Campanula scheuchzeri","BOL1",2009,"Boreal forest",4,4.7,6.3
"137","BOL1_2009","Silene vulgaris","BOL1",2009,"Boreal forest",6,4,8
"138","BOL1_2009","Corallorhiza trifida","BOL1",2009,"Boreal forest",4,5,2
"139","BOL1_2009","Alchemilla vulgaris","BOL1",2009,"Boreal forest",4,5,7
"140","BOL1_2009","Arrhenatherum elatius","BOL1",2009,"Boreal forest",5,5,8
"141","BOL1_2009","Euphrasia rostkoviana","BOL1",2009,"Boreal forest",NA,5,7
"142","BOL1_2009","Alchemilla alpina","BOL1",2009,"Boreal forest",2,5,9
"143","BOL1_2009","Carex flava","BOL1",2009,"Boreal forest",4,8,8
"144","BOL1_2009","Carex ornithopoda","BOL1",2009,"Boreal forest",NA,3,6.5
"145","BOL1_2009","Trollius europaeus","BOL1",2009,"Boreal forest",3,7,9
"146","BOL1_2011","Alchemilla acutiloba","BOL1",2011,"Boreal forest",NA,NA,NA
"147","BOL1_2011","Athyrium filix-foemina","BOL1",2011,"Boreal forest",4,5,3
"148","BOL1_2011","Avenella flexuosa","BOL1",2011,"Boreal forest",NA,NA,6
"149","BOL1_2011","Campanula barbata","BOL1",2011,"Boreal forest",2,5,7
"150","BOL1_2011","Carex montana","BOL1",2011,"Boreal forest",5,4,5
"151","BOL1_2011","Carex pallescens","BOL1",2011,"Boreal forest",4,6,7
"152","BOL1_2011","Clematis alpina","BOL1",2011,"Boreal forest",3,5,4
"153","BOL1_2011","Dactylis glomerata","BOL1",2011,"Boreal forest",6,4,7
"154","BOL1_2011","Deschampsia caespitosa","BOL1",2011,"Boreal forest",NA,7,6
"155","BOL1_2011","Dryopteris dilatata","BOL1",2011,"Boreal forest",NA,NA,4.5
"156","BOL1_2011","Dryopteris filix-mas","BOL1",2011,"Boreal forest",NA,5,3
"157","BOL1_2011","Erica carnea","BOL1",2011,"Boreal forest",6,3,7
"158","BOL1_2011","Fragaria vesca","BOL1",2011,"Boreal forest",NA,4,6
"159","BOL1_2011","Gymnocarpium dryopteris","BOL1",2011,"Boreal forest",3,6,3
"160","BOL1_2011","Hieracium sylvaticum","BOL1",2011,"Boreal forest",NA,5,4
"161","BOL1_2011","Homogyne alpina","BOL1",2011,"Boreal forest",4,6,6
"162","BOL1_2011","Leontodon hispidus","BOL1",2011,"Boreal forest",NA,4,8
"163","BOL1_2011","Luzula albida","BOL1",2011,"Boreal forest",4,3,4
"164","BOL1_2011","Luzula luzulina","BOL1",2011,"Boreal forest",3,4,3
"165","BOL1_2011","Luzula sieberi","BOL1",2011,"Boreal forest",NA,NA,NA
"166","BOL1_2011","Lycopodium annotinum","BOL1",2011,"Boreal forest",4,6,3
"167","BOL1_2011","Maianthemum bifolium","BOL1",2011,"Boreal forest",NA,NA,3
"168","BOL1_2011","Melampyrum pratense","BOL1",2011,"Boreal forest",3,5,4
"169","BOL1_2011","Molinia arundinacea","BOL1",2011,"Boreal forest",5.5,6.5,7
"170","BOL1_2011","Oxalis acetosella","BOL1",2011,"Boreal forest",5,6,1
"171","BOL1_2011","Phegopteris polypodioides","BOL1",2011,"Boreal forest",5,4,4
"172","BOL1_2011","Phyteuma betonicifolium","BOL1",2011,"Boreal forest",4,5,5
"173","BOL1_2011","Picea abies","BOL1",2011,"Boreal forest",3,5,5
"174","BOL1_2011","Pinus cembra","BOL1",2011,"Boreal forest",2,5,7
"175","BOL1_2011","Potentilla erecta","BOL1",2011,"Boreal forest",NA,NA,6
"176","BOL1_2011","Prunella vulgaris","BOL1",2011,"Boreal forest",6,6,7
"177","BOL1_2011","Ranunculus lanuginosus","BOL1",2011,"Boreal forest",NA,6,3
"178","BOL1_2011","Ranunculus nemorosus","BOL1",2011,"Boreal forest",4.8,5,5.4
"179","BOL1_2011","Rubus idaeus","BOL1",2011,"Boreal forest",4,5,7
"180","BOL1_2011","Senecio fuchsii","BOL1",2011,"Boreal forest",NA,NA,NA
"181","BOL1_2011","Solidago virgaurea","BOL1",2011,"Boreal forest",NA,5,5
