"","Richness","Species","Site","Year","Forest.type","N.Sus","Presence"
"1",71,"Abies alba","BOL1",2005,"Boreal forest",12,0
"2",71,"Acer campestre","BOL1",2005,"Boreal forest",12,0
"3",71,"Adoxa moschatellina","BOL1",2005,"Boreal forest",12,0
"4",71,"Alchemilla acutiloba","BOL1",2005,"Boreal forest",12,0
"5",71,"Andryala integrifolia","BOL1",2005,"Boreal forest",12,0
"6",71,"Anthericum liliago","BOL1",2005,"Boreal forest",12,0
"7",71,"Anthoxanthum odoratum","BOL1",2005,"Boreal forest",12,0
"8",71,"Aremonia agrimonoides","BOL1",2005,"Boreal forest",12,0
"9",71,"Athyrium filix-foemina","BOL1",2005,"Boreal forest",12,1
"10",71,"Avenella flexuosa","BOL1",2005,"Boreal forest",12,1
"11",71,"Betula pendula","BOL1",2005,"Boreal forest",12,0
"12",71,"Brachypodium rupestre","BOL1",2005,"Boreal forest",12,0
"13",71,"Brachypodium sylvaticum","BOL1",2005,"Boreal forest",12,0
"14",71,"Campanula barbata","BOL1",2005,"Boreal forest",12,1
"15",71,"Cardamine bulbifera","BOL1",2005,"Boreal forest",12,0
"16",71,"Cardamine chelidonia","BOL1",2005,"Boreal forest",12,0
"17",71,"Cardamine sp.","BOL1",2005,"Boreal forest",12,0
"18",71,"Cardamine trifolia","BOL1",2005,"Boreal forest",12,0
"19",71,"Carex flacca","BOL1",2005,"Boreal forest",12,0
"20",71,"Carex hallerana","BOL1",2005,"Boreal forest",12,0
"21",71,"Carex montana","BOL1",2005,"Boreal forest",12,1
"22",71,"Carex olbiensis","BOL1",2005,"Boreal forest",12,0
"23",71,"Carex pallescens","BOL1",2005,"Boreal forest",12,1
"24",71,"Carex pilosa","BOL1",2005,"Boreal forest",12,0
"25",71,"Carex pilulifera","BOL1",2005,"Boreal forest",12,0
"26",71,"Carex remota","BOL1",2005,"Boreal forest",12,0
"27",71,"Carpinus betulus","BOL1",2005,"Boreal forest",12,0
"28",71,"Castanea sativa","BOL1",2005,"Boreal forest",12,0
"29",71,"Celtis australis","BOL1",2005,"Boreal forest",12,0
"30",71,"Cephalanthera longifolia","BOL1",2005,"Boreal forest",12,0
"31",71,"Chaerophyllum hirsutum","BOL1",2005,"Boreal forest",12,0
"32",71,"Chrysosplenium alternifolium","BOL1",2005,"Boreal forest",12,0
"33",71,"Circaea alpina","BOL1",2005,"Boreal forest",12,0
"34",71,"Clematis alpina","BOL1",2005,"Boreal forest",12,0
"35",71,"Clinopodium vulgare","BOL1",2005,"Boreal forest",12,0
"36",71,"Cornus sanguinea","BOL1",2005,"Boreal forest",12,0
"37",71,"Corylus avellana","BOL1",2005,"Boreal forest",12,0
"38",71,"Crataegus oxyacantha","BOL1",2005,"Boreal forest",12,0
"39",71,"Crepis leontodontoides","BOL1",2005,"Boreal forest",12,0
"40",71,"Cruciata glabra","BOL1",2005,"Boreal forest",12,0
"41",71,"Cyclamen hederifolium","BOL1",2005,"Boreal forest",12,0
"42",71,"Cytisus scoparius","BOL1",2005,"Boreal forest",12,0
"43",71,"Cytisus villosus","BOL1",2005,"Boreal forest",12,0
"44",71,"Dactylis glomerata","BOL1",2005,"Boreal forest",12,1
"45",71,"Daphne laureola","BOL1",2005,"Boreal forest",12,0
"46",71,"Deschampsia caespitosa","BOL1",2005,"Boreal forest",12,1
"47",71,"Dicranella heteromalla","BOL1",2005,"Boreal forest",12,0
"48",71,"Dryopteris dilatata","BOL1",2005,"Boreal forest",12,1
"49",71,"Dryopteris filix-mas","BOL1",2005,"Boreal forest",12,1
"50",71,"Epipactis microphylla","BOL1",2005,"Boreal forest",12,0
"51",71,"Erica carnea","BOL1",2005,"Boreal forest",12,1
"52",71,"Euonymus europaeus","BOL1",2005,"Boreal forest",12,0
"53",71,"Euonymus latifolius","BOL1",2005,"Boreal forest",12,0
"54",71,"Euphorbia amygdaloides","BOL1",2005,"Boreal forest",12,0
"55",71,"Fagus sylvatica","BOL1",2005,"Boreal forest",12,0
"56",71,"Festuca drymeia","BOL1",2005,"Boreal forest",12,0
"57",71,"Festuca heterophylla","BOL1",2005,"Boreal forest",12,0
"58",71,"Fragaria vesca","BOL1",2005,"Boreal forest",12,1
"59",71,"Fraxinus ornus","BOL1",2005,"Boreal forest",12,0
"60",71,"Galium odoratum","BOL1",2005,"Boreal forest",12,0
"61",71,"Geranium robertianum","BOL1",2005,"Boreal forest",12,0
"62",71,"Geranium versicolor","BOL1",2005,"Boreal forest",12,0
"63",71,"Gymnocarpium dryopteris","BOL1",2005,"Boreal forest",12,1
"64",71,"Hedera helix","BOL1",2005,"Boreal forest",12,0
"65",71,"Hieracium sylvaticum","BOL1",2005,"Boreal forest",12,1
"66",71,"Homogyne alpina","BOL1",2005,"Boreal forest",12,1
"67",71,"Hypericum perfoliatum","BOL1",2005,"Boreal forest",12,0
"68",71,"Ilex aquifolium","BOL1",2005,"Boreal forest",12,0
"69",71,"Impatiens noli-tangere","BOL1",2005,"Boreal forest",12,0
"70",71,"Juglans regia","BOL1",2005,"Boreal forest",12,0
"71",71,"Juniperus communis","BOL1",2005,"Boreal forest",12,0
"72",71,"Lamiastrum galeobdolon","BOL1",2005,"Boreal forest",12,0
"73",71,"Lamium flexuosum","BOL1",2005,"Boreal forest",12,0
"74",71,"Lathyrus vernus","BOL1",2005,"Boreal forest",12,0
"75",71,"Leontodon hispidus","BOL1",2005,"Boreal forest",12,0
"76",71,"Lilium martagon","BOL1",2005,"Boreal forest",12,0
"77",71,"Lonicera caprifolium","BOL1",2005,"Boreal forest",12,0
"78",71,"Lonicera xylosteum","BOL1",2005,"Boreal forest",12,0
"79",71,"Luzula albida","BOL1",2005,"Boreal forest",12,1
"80",71,"Luzula forsteri","BOL1",2005,"Boreal forest",12,0
"81",71,"Luzula luzulina","BOL1",2005,"Boreal forest",12,1
"82",71,"Luzula sieberi","BOL1",2005,"Boreal forest",12,1
"83",71,"Luzula sylvatica","BOL1",2005,"Boreal forest",12,0
"84",71,"Lycopodium annotinum","BOL1",2005,"Boreal forest",12,1
"85",71,"Maianthemum bifolium","BOL1",2005,"Boreal forest",12,0
"86",71,"Malus sylvestris","BOL1",2005,"Boreal forest",12,0
"87",71,"Melampyrum pratense","BOL1",2005,"Boreal forest",12,1
"88",71,"Melica uniflora","BOL1",2005,"Boreal forest",12,0
