"","Richness","Species","Site","Year","Forest.type","N.Sus","Presence"
"1",19,"Abies alba","LAZ2",2005,"Mediterranean forest",12,0
"2",19,"Acer campestre","LAZ2",2005,"Mediterranean forest",12,0
"3",19,"Adoxa moschatellina","LAZ2",2005,"Mediterranean forest",12,0
"4",19,"Alchemilla acutiloba","LAZ2",2005,"Mediterranean forest",12,0
"5",19,"Andryala integrifolia","LAZ2",2005,"Mediterranean forest",12,0
"6",19,"Anthericum liliago","LAZ2",2005,"Mediterranean forest",12,0
"7",19,"Anthoxanthum odoratum","LAZ2",2005,"Mediterranean forest",12,0
"8",19,"Aremonia agrimonoides","LAZ2",2005,"Mediterranean forest",12,0
"9",19,"Athyrium filix-foemina","LAZ2",2005,"Mediterranean forest",12,0
"10",19,"Avenella flexuosa","LAZ2",2005,"Mediterranean forest",12,0
"11",19,"Betula pendula","LAZ2",2005,"Mediterranean forest",12,0
"12",19,"Brachypodium rupestre","LAZ2",2005,"Mediterranean forest",12,0
"13",19,"Brachypodium sylvaticum","LAZ2",2005,"Mediterranean forest",12,0
"14",19,"Campanula barbata","LAZ2",2005,"Mediterranean forest",12,0
"15",19,"Cardamine bulbifera","LAZ2",2005,"Mediterranean forest",12,0
"16",19,"Cardamine chelidonia","LAZ2",2005,"Mediterranean forest",12,0
"17",19,"Cardamine sp.","LAZ2",2005,"Mediterranean forest",12,0
"18",19,"Cardamine trifolia","LAZ2",2005,"Mediterranean forest",12,0
"19",19,"Carex flacca","LAZ2",2005,"Mediterranean forest",12,0
"20",19,"Carex hallerana","LAZ2",2005,"Mediterranean forest",12,0
"21",19,"Carex montana","LAZ2",2005,"Mediterranean forest",12,0
"22",19,"Carex olbiensis","LAZ2",2005,"Mediterranean forest",12,0
"23",19,"Carex pallescens","LAZ2",2005,"Mediterranean forest",12,0
"24",19,"Carex pilosa","LAZ2",2005,"Mediterranean forest",12,0
"25",19,"Carex pilulifera","LAZ2",2005,"Mediterranean forest",12,0
"26",19,"Carex remota","LAZ2",2005,"Mediterranean forest",12,0
"27",19,"Carpinus betulus","LAZ2",2005,"Mediterranean forest",12,0
"28",19,"Castanea sativa","LAZ2",2005,"Mediterranean forest",12,0
"29",19,"Celtis australis","LAZ2",2005,"Mediterranean forest",12,0
"30",19,"Cephalanthera longifolia","LAZ2",2005,"Mediterranean forest",12,0
"31",19,"Chaerophyllum hirsutum","LAZ2",2005,"Mediterranean forest",12,0
"32",19,"Chrysosplenium alternifolium","LAZ2",2005,"Mediterranean forest",12,0
"33",19,"Circaea alpina","LAZ2",2005,"Mediterranean forest",12,0
"34",19,"Clematis alpina","LAZ2",2005,"Mediterranean forest",12,0
"35",19,"Clinopodium vulgare","LAZ2",2005,"Mediterranean forest",12,0
"36",19,"Cornus sanguinea","LAZ2",2005,"Mediterranean forest",12,0
"37",19,"Corylus avellana","LAZ2",2005,"Mediterranean forest",12,0
"38",19,"Crataegus oxyacantha","LAZ2",2005,"Mediterranean forest",12,0
"39",19,"Crepis leontodontoides","LAZ2",2005,"Mediterranean forest",12,0
"40",19,"Cruciata glabra","LAZ2",2005,"Mediterranean forest",12,0
"41",19,"Cyclamen hederifolium","LAZ2",2005,"Mediterranean forest",12,0
"42",19,"Cytisus scoparius","LAZ2",2005,"Mediterranean forest",12,0
"43",19,"Cytisus villosus","LAZ2",2005,"Mediterranean forest",12,0
"44",19,"Dactylis glomerata","LAZ2",2005,"Mediterranean forest",12,0
"45",19,"Daphne laureola","LAZ2",2005,"Mediterranean forest",12,0
"46",19,"Deschampsia caespitosa","LAZ2",2005,"Mediterranean forest",12,0
"47",19,"Dicranella heteromalla","LAZ2",2005,"Mediterranean forest",12,0
"48",19,"Dryopteris dilatata","LAZ2",2005,"Mediterranean forest",12,0
"49",19,"Dryopteris filix-mas","LAZ2",2005,"Mediterranean forest",12,0
"50",19,"Epipactis microphylla","LAZ2",2005,"Mediterranean forest",12,0
"51",19,"Erica carnea","LAZ2",2005,"Mediterranean forest",12,0
"52",19,"Euonymus europaeus","LAZ2",2005,"Mediterranean forest",12,0
"53",19,"Euonymus latifolius","LAZ2",2005,"Mediterranean forest",12,0
"54",19,"Euphorbia amygdaloides","LAZ2",2005,"Mediterranean forest",12,0
"55",19,"Fagus sylvatica","LAZ2",2005,"Mediterranean forest",12,0
"56",19,"Festuca drymeia","LAZ2",2005,"Mediterranean forest",12,0
"57",19,"Festuca heterophylla","LAZ2",2005,"Mediterranean forest",12,0
"58",19,"Fragaria vesca","LAZ2",2005,"Mediterranean forest",12,0
"59",19,"Fraxinus ornus","LAZ2",2005,"Mediterranean forest",12,1
"60",19,"Galium odoratum","LAZ2",2005,"Mediterranean forest",12,0
"61",19,"Geranium robertianum","LAZ2",2005,"Mediterranean forest",12,0
"62",19,"Geranium versicolor","LAZ2",2005,"Mediterranean forest",12,0
"63",19,"Gymnocarpium dryopteris","LAZ2",2005,"Mediterranean forest",12,0
"64",19,"Hedera helix","LAZ2",2005,"Mediterranean forest",12,0
"65",19,"Hieracium sylvaticum","LAZ2",2005,"Mediterranean forest",12,0
"66",19,"Homogyne alpina","LAZ2",2005,"Mediterranean forest",12,0
"67",19,"Hypericum perfoliatum","LAZ2",2005,"Mediterranean forest",12,0
"68",19,"Ilex aquifolium","LAZ2",2005,"Mediterranean forest",12,0
"69",19,"Impatiens noli-tangere","LAZ2",2005,"Mediterranean forest",12,0
"70",19,"Juglans regia","LAZ2",2005,"Mediterranean forest",12,0
"71",19,"Juniperus communis","LAZ2",2005,"Mediterranean forest",12,0
"72",19,"Lamiastrum galeobdolon","LAZ2",2005,"Mediterranean forest",12,0
"73",19,"Lamium flexuosum","LAZ2",2005,"Mediterranean forest",12,0
"74",19,"Lathyrus vernus","LAZ2",2005,"Mediterranean forest",12,0
"75",19,"Leontodon hispidus","LAZ2",2005,"Mediterranean forest",12,0
"76",19,"Lilium martagon","LAZ2",2005,"Mediterranean forest",12,0
"77",19,"Lonicera caprifolium","LAZ2",2005,"Mediterranean forest",12,0
"78",19,"Lonicera xylosteum","LAZ2",2005,"Mediterranean forest",12,0
"79",19,"Luzula albida","LAZ2",2005,"Mediterranean forest",12,0
"80",19,"Luzula forsteri","LAZ2",2005,"Mediterranean forest",12,0
"81",19,"Luzula luzulina","LAZ2",2005,"Mediterranean forest",12,0
"82",19,"Luzula sieberi","LAZ2",2005,"Mediterranean forest",12,0
"83",19,"Luzula sylvatica","LAZ2",2005,"Mediterranean forest",12,0
"84",19,"Lycopodium annotinum","LAZ2",2005,"Mediterranean forest",12,0
"85",19,"Maianthemum bifolium","LAZ2",2005,"Mediterranean forest",12,0
"86",19,"Malus sylvestris","LAZ2",2005,"Mediterranean forest",12,0
"87",19,"Melampyrum pratense","LAZ2",2005,"Mediterranean forest",12,0
"88",19,"Melica uniflora","LAZ2",2005,"Mediterranean forest",12,0
"89",19,"Mercurialis perennis","LAZ2",2005,"Mediterranean forest",12,0
"90",19,"Mespilus germanica","LAZ2",2005,"Mediterranean forest",12,0
"91",19,"Milium effusum","LAZ2",2005,"Mediterranean forest",12,0
"92",19,"Moehringia trinervia","LAZ2",2005,"Mediterranean forest",12,0
"93",19,"Molinia arundinacea","LAZ2",2005,"Mediterranean forest",12,0
"94",19,"Molinia coerulea","LAZ2",2005,"Mediterranean forest",12,0
"95",19,"Monotropa hypopitys","LAZ2",2005,"Mediterranean forest",12,0
"96",19,"Mycelis muralis","LAZ2",2005,"Mediterranean forest",12,0
"97",19,"Myosotis sylvatica","LAZ2",2005,"Mediterranean forest",12,0
"98",19,"Myrtus communis","LAZ2",2005,"Mediterranean forest",12,1
"99",19,"Neottia nidus-avis","LAZ2",2005,"Mediterranean forest",12,0
"100",19,"Olea europaea","LAZ2",2005,"Mediterranean forest",12,0
"101",19,"Oryzopsis miliacea","LAZ2",2005,"Mediterranean forest",12,0
"102",19,"Oxalis acetosella","LAZ2",2005,"Mediterranean forest",12,0
"103",19,"Paris quadrifolia","LAZ2",2005,"Mediterranean forest",12,0
"104",19,"Petasites albus","LAZ2",2005,"Mediterranean forest",12,0
"105",19,"Phegopteris polypodioides","LAZ2",2005,"Mediterranean forest",12,0
"106",19,"Physospermum cornubiense","LAZ2",2005,"Mediterranean forest",12,0
"107",19,"Phyteuma betonicifolium","LAZ2",2005,"Mediterranean forest",12,0
"108",19,"Phyteuma orbiculare","LAZ2",2005,"Mediterranean forest",12,0
"109",19,"Picea abies","LAZ2",2005,"Mediterranean forest",12,0
