"","Site_Year","Species","Site","Year","Forest.type","Ell_Temp","Ell_Moisture","Ell_Light"
"1","LAZ2_2005","Fraxinus ornus","LAZ2",2005,"Mediterranean forest",8,3,7
"2","LAZ2_2005","Myrtus communis","LAZ2",2005,"Mediterranean forest",9,4,8
"3","LAZ2_2005","Pistacia lentiscus","LAZ2",2005,"Mediterranean forest",10,2,9
"4","LAZ2_2005","Quercus ilex","LAZ2",2005,"Mediterranean forest",9,4,7
"5","LAZ2_2005","Rubia peregrina","LAZ2",2005,"Mediterranean forest",9,4,5
"6","LAZ2_2005","Ruscus aculeatus","LAZ2",2005,"Mediterranean forest",8,4,4
"7","LAZ2_2005","Smilax aspera","LAZ2",2005,"Mediterranean forest",10,4,6
"8","LAZ2_2005","Viburnum tinus","LAZ2",2005,"Mediterranean forest",9,4,5
"9","LAZ2_2005","Erica arborea","LAZ2",2005,"Mediterranean forest",8,3,6
"10","LAZ2_2005","Coronilla emerus","LAZ2",2005,"Mediterranean forest",6,3,7
"11","LAZ2_2005","Asparagus acutifolius","LAZ2",2005,"Mediterranean forest",9,2,6
"12","LAZ2_2005","Asplenium onopteris","LAZ2",2005,"Mediterranean forest",7.7,3.7,5
"13","LAZ2_2005","Arum italicum","LAZ2",2005,"Mediterranean forest",8,4,6
"14","LAZ2_2005","Arbutus unedo","LAZ2",2005,"Mediterranean forest",9,3,9
"15","LAZ2_2005","Carex sp.","LAZ2",2005,"Mediterranean forest",NA,NA,NA
"16","LAZ2_2005","Phillyrea latifolia","LAZ2",2005,"Mediterranean forest",8,4,6
"17","LAZ2_2005","Ampelodesmos mauritanica","LAZ2",2005,"Mediterranean forest",11,2,8
"18","LAZ2_2005","Rhamnus alaternus","LAZ2",2005,"Mediterranean forest",9,4,7
"19","LAZ2_2005","Brachypodium ramosum","LAZ2",2005,"Mediterranean forest",10,2,9
"20","LAZ2_2010","Cyclamen hederifolium","LAZ2",2010,"Mediterranean forest",8,5,4
"21","LAZ2_2010","Fraxinus ornus","LAZ2",2010,"Mediterranean forest",8,3,7
"22","LAZ2_2010","Lonicera caprifolium","LAZ2",2010,"Mediterranean forest",5,6,6
"23","LAZ2_2010","Myrtus communis","LAZ2",2010,"Mediterranean forest",9,4,8
"24","LAZ2_2010","Pistacia lentiscus","LAZ2",2010,"Mediterranean forest",10,2,9
"25","LAZ2_2010","Quercus ilex","LAZ2",2010,"Mediterranean forest",9,4,7
"26","LAZ2_2010","Quercus pubescens","LAZ2",2010,"Mediterranean forest",7,4.5,7
"27","LAZ2_2010","Rubia peregrina","LAZ2",2010,"Mediterranean forest",9,4,5
"28","LAZ2_2010","Ruscus aculeatus","LAZ2",2010,"Mediterranean forest",8,4,4
"29","LAZ2_2010","Smilax aspera","LAZ2",2010,"Mediterranean forest",10,4,6
"30","LAZ2_2010","Tamus communis","LAZ2",2010,"Mediterranean forest",7,5,5
"31","LAZ2_2010","Viburnum tinus","LAZ2",2010,"Mediterranean forest",9,4,5
"32","LAZ2_2010","Coronilla emerus","LAZ2",2010,"Mediterranean forest",6,3,7
"33","LAZ2_2010","Asparagus acutifolius","LAZ2",2010,"Mediterranean forest",9,2,6
"34","LAZ2_2010","Asplenium onopteris","LAZ2",2010,"Mediterranean forest",7.7,3.7,5
"35","LAZ2_2010","Rosa sempervirens","LAZ2",2010,"Mediterranean forest",8,4,6
"36","LAZ2_2010","Arbutus unedo","LAZ2",2010,"Mediterranean forest",9,3,9
"37","LAZ2_2010","Carex sp.","LAZ2",2010,"Mediterranean forest",NA,NA,NA
"38","LAZ2_2010","Phillyrea latifolia","LAZ2",2010,"Mediterranean forest",8,4,6
"39","LAZ2_2010","Brachypodium ramosum","LAZ2",2010,"Mediterranean forest",10,2,9
"40","LAZ2_2010","Ampelodesmos mauritanicus","LAZ2",2010,"Mediterranean forest",11,2,8
"41","LAZ2_2010","Clematis flammula","LAZ2",2010,"Mediterranean forest",9,3,7
"42","LAZ2_2011","Fraxinus ornus","LAZ2",2011,"Mediterranean forest",8,3,7
"43","LAZ2_2011","Lamiastrum galeobdolon","LAZ2",2011,"Mediterranean forest",4,5,2
"44","LAZ2_2011","Myrtus communis","LAZ2",2011,"Mediterranean forest",9,4,8
"45","LAZ2_2011","Pistacia lentiscus","LAZ2",2011,"Mediterranean forest",10,2,9
"46","LAZ2_2011","Quercus ilex","LAZ2",2011,"Mediterranean forest",9,4,7
"47","LAZ2_2011","Rubia peregrina","LAZ2",2011,"Mediterranean forest",9,4,5
"48","LAZ2_2011","Ruscus aculeatus","LAZ2",2011,"Mediterranean forest",8,4,4
"49","LAZ2_2011","Smilax aspera","LAZ2",2011,"Mediterranean forest",10,4,6
"50","LAZ2_2011","Sorbus domestica","LAZ2",2011,"Mediterranean forest",7,3,5
"51","LAZ2_2011","Viburnum tinus","LAZ2",2011,"Mediterranean forest",9,4,5
"52","LAZ2_2011","Coronilla emerus","LAZ2",2011,"Mediterranean forest",6,3,7
"53","LAZ2_2011","Asparagus acutifolius","LAZ2",2011,"Mediterranean forest",9,2,6
"54","LAZ2_2011","Arbutus unedo","LAZ2",2011,"Mediterranean forest",9,3,9
"55","LAZ2_2011","Carex sp.","LAZ2",2011,"Mediterranean forest",NA,NA,NA
"56","LAZ2_2011","Phillyrea latifolia","LAZ2",2011,"Mediterranean forest",8,4,6
"57","LAZ2_2011","Ampelodesmos mauritanica","LAZ2",2011,"Mediterranean forest",11,2,8
"58","LAZ2_2011","Clematis flammula","LAZ2",2011,"Mediterranean forest",9,3,7
"59","LAZ2_2011","Brachypodium retusum","LAZ2",2011,"Mediterranean forest",10,2,9
"60","LAZ2_2012","Fraxinus ornus","LAZ2",2012,"Mediterranean forest",8,3,7
"61","LAZ2_2012","Myrtus communis","LAZ2",2012,"Mediterranean forest",9,4,8
"62","LAZ2_2012","Pistacia lentiscus","LAZ2",2012,"Mediterranean forest",10,2,9
"63","LAZ2_2012","Quercus ilex","LAZ2",2012,"Mediterranean forest",9,4,7
"64","LAZ2_2012","Quercus pubescens","LAZ2",2012,"Mediterranean forest",7,4.5,7
"65","LAZ2_2012","Rubia peregrina","LAZ2",2012,"Mediterranean forest",9,4,5
"66","LAZ2_2012","Ruscus aculeatus","LAZ2",2012,"Mediterranean forest",8,4,4
