"","Site_Year","Species","Site","Year","Forest.type","Ell_Temp","Ell_Moisture","Ell_Light"
"1","ABR2_2005","Abies alba","ABR2",2005,"Nemoral oak forest",5,7,5
"2","ABR2_2005","Acer campestre","ABR2",2005,"Nemoral oak forest",7,5,5
"3","ABR2_2005","Aremonia agrimonoides","ABR2",2005,"Nemoral oak forest",7,5,4
"4","ABR2_2005","Brachypodium sylvaticum","ABR2",2005,"Nemoral oak forest",5,5,4
"5","ABR2_2005","Cardamine bulbifera","ABR2",2005,"Nemoral oak forest",5,5,3
"6","ABR2_2005","Carex flacca","ABR2",2005,"Nemoral oak forest",5,6,7
"7","ABR2_2005","Carex remota","ABR2",2005,"Nemoral oak forest",5,6,4
"8","ABR2_2005","Carpinus betulus","ABR2",2005,"Nemoral oak forest",6,NA,4
"9","ABR2_2005","Cornus sanguinea","ABR2",2005,"Nemoral oak forest",5,7,7
"10","ABR2_2005","Crataegus oxyacantha","ABR2",2005,"Nemoral oak forest",6,5,6
"11","ABR2_2005","Daphne laureola","ABR2",2005,"Nemoral oak forest",6,4,6
"12","ABR2_2005","Euonymus latifolius","ABR2",2005,"Nemoral oak forest",5,5,4
"13","ABR2_2005","Euphorbia amygdaloides","ABR2",2005,"Nemoral oak forest",5,5,4
"14","ABR2_2005","Fragaria vesca","ABR2",2005,"Nemoral oak forest",NA,4,6
"15","ABR2_2005","Fraxinus ornus","ABR2",2005,"Nemoral oak forest",8,3,7
"16","ABR2_2005","Galium odoratum","ABR2",2005,"Nemoral oak forest",5,5,2
"17","ABR2_2005","Geranium robertianum","ABR2",2005,"Nemoral oak forest",6,4,4
"18","ABR2_2005","Geranium versicolor","ABR2",2005,"Nemoral oak forest",4,6,4
"19","ABR2_2005","Hedera helix","ABR2",2005,"Nemoral oak forest",5,5,4
"20","ABR2_2005","Ilex aquifolium","ABR2",2005,"Nemoral oak forest",5,5,4
"21","ABR2_2005","Lamiastrum galeobdolon","ABR2",2005,"Nemoral oak forest",4,5,2
"22","ABR2_2005","Lilium martagon","ABR2",2005,"Nemoral oak forest",4,4,5
"23","ABR2_2005","Lonicera caprifolium","ABR2",2005,"Nemoral oak forest",5,6,6
"24","ABR2_2005","Melica uniflora","ABR2",2005,"Nemoral oak forest",5,5,3
"25","ABR2_2005","Milium effusum","ABR2",2005,"Nemoral oak forest",4,5,4
"26","ABR2_2005","Mycelis muralis","ABR2",2005,"Nemoral oak forest",5,5,4
